graph_dot,graph_g6,executable,method,cr,time,success
graph G {  0; 0 -- 1; 0 -- 6; 0 -- 7; 1; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 6; 2 -- 8; 3; 3 -- 7; 3 -- 9; 4; 4 -- 5; 4 -- 8; 4 -- 9; 5; 5 -- 8; 5 -- 9; 6; 6 -- 9; 7; 7 -- 8; 8; 9;},I`?NE_lF_,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 6; 0 -- 7; 1; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 6; 2 -- 8; 3; 3 -- 7; 3 -- 9; 4; 4 -- 5; 4 -- 8; 4 -- 9; 5; 5 -- 8; 5 -- 9; 6; 6 -- 9; 7; 7 -- 8; 8; 9;},I`?NE_lF_,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 1; 0 -- 6; 0 -- 7; 1; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 6; 2 -- 8; 3; 3 -- 7; 3 -- 9; 4; 4 -- 5; 4 -- 8; 4 -- 9; 5; 5 -- 8; 5 -- 9; 6; 6 -- 9; 7; 7 -- 8; 8; 9;},I`?NE_lF_,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 6; 0 -- 7; 1; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 6; 2 -- 8; 3; 3 -- 7; 3 -- 9; 4; 4 -- 5; 4 -- 8; 4 -- 9; 5; 5 -- 8; 5 -- 9; 6; 6 -- 9; 7; 7 -- 8; 8; 9;},I`?NE_lF_,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 2; 0 -- 8; 0 -- 9; 1; 1 -- 3; 1 -- 8; 1 -- 9; 2; 2 -- 3; 2 -- 6; 3; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 4 -- 8; 5; 5 -- 6; 5 -- 7; 5 -- 8; 6; 6 -- 9; 7; 7 -- 9; 8; 9;},IR?HWzKoo,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 2; 0 -- 8; 0 -- 9; 1; 1 -- 3; 1 -- 8; 1 -- 9; 2; 2 -- 3; 2 -- 6; 3; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 4 -- 8; 5; 5 -- 6; 5 -- 7; 5 -- 8; 6; 6 -- 9; 7; 7 -- 9; 8; 9;},IR?HWzKoo,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 2; 0 -- 8; 0 -- 9; 1; 1 -- 3; 1 -- 8; 1 -- 9; 2; 2 -- 3; 2 -- 6; 3; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 4 -- 8; 5; 5 -- 6; 5 -- 7; 5 -- 8; 6; 6 -- 9; 7; 7 -- 9; 8; 9;},IR?HWzKoo,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 2; 0 -- 8; 0 -- 9; 1; 1 -- 3; 1 -- 8; 1 -- 9; 2; 2 -- 3; 2 -- 6; 3; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 4 -- 8; 5; 5 -- 6; 5 -- 7; 5 -- 8; 6; 6 -- 9; 7; 7 -- 9; 8; 9;},IR?HWzKoo,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 4; 0 -- 7; 0 -- 8; 1; 1 -- 5; 1 -- 7; 1 -- 9; 2; 2 -- 6; 2 -- 8; 2 -- 9; 3; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 5; 4 -- 6; 4 -- 9; 5; 5 -- 6; 5 -- 8; 6; 6 -- 7; 7; 8; 9;},I?`H]es]?,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 4; 0 -- 7; 0 -- 8; 1; 1 -- 5; 1 -- 7; 1 -- 9; 2; 2 -- 6; 2 -- 8; 2 -- 9; 3; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 5; 4 -- 6; 4 -- 9; 5; 5 -- 6; 5 -- 8; 6; 6 -- 7; 7; 8; 9;},I?`H]es]?,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 4; 0 -- 7; 0 -- 8; 1; 1 -- 5; 1 -- 7; 1 -- 9; 2; 2 -- 6; 2 -- 8; 2 -- 9; 3; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 5; 4 -- 6; 4 -- 9; 5; 5 -- 6; 5 -- 8; 6; 6 -- 7; 7; 8; 9;},I?`H]es]?,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 4; 0 -- 7; 0 -- 8; 1; 1 -- 5; 1 -- 7; 1 -- 9; 2; 2 -- 6; 2 -- 8; 2 -- 9; 3; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 5; 4 -- 6; 4 -- 9; 5; 5 -- 6; 5 -- 8; 6; 6 -- 7; 7; 8; 9;},I?`H]es]?,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 1; 0 -- 6; 0 -- 8; 1; 1 -- 7; 1 -- 9; 2; 2 -- 3; 2 -- 6; 2 -- 9; 3; 3 -- 7; 3 -- 8; 4; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 8; 5 -- 9; 6; 6 -- 7; 7; 8; 8 -- 9; 9;},I`?DIu[ZG,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 6; 0 -- 8; 1; 1 -- 7; 1 -- 9; 2; 2 -- 3; 2 -- 6; 2 -- 9; 3; 3 -- 7; 3 -- 8; 4; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 8; 5 -- 9; 6; 6 -- 7; 7; 8; 8 -- 9; 9;},I`?DIu[ZG,bin/okp-recognition-full,ilp,,,
