graph_dot,graph_g6,executable,method,cr,time,success
graph G {  0; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FJ\~w,bin/okp-recognition-obj --no_bct,dp,4.0,699023710.0,True
graph G {  0; 0 -- 4; 1; 1 -- 7; 2; 2 -- 5; 3; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 7; 6; 6 -- 7; 7;},G?_gqK,bin/okp-recognition-obj,ilp,0.0,2239002.0,True
graph G {  0; 0 -- 4; 1; 1 -- 7; 2; 2 -- 5; 3; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 7; 6; 6 -- 7; 7;},G?_gqK,bin/okp-recognition-obj,sat,0.0,86485.0,True
graph G {  0; 0 -- 4; 1; 1 -- 7; 2; 2 -- 5; 3; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 7; 6; 6 -- 7; 7;},G?_gqK,bin/okp-recognition-obj,dp,0.0,41773.0,True
graph G {  0; 0 -- 4; 1; 1 -- 7; 2; 2 -- 5; 3; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 7; 6; 6 -- 7; 7;},G?_gqK,bin/okp-recognition-obj --no_bct,ilp,0.0,3998893.0,True
graph G {  0; 0 -- 4; 1; 1 -- 7; 2; 2 -- 5; 3; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 7; 6; 6 -- 7; 7;},G?_gqK,bin/okp-recognition-obj --no_bct,sat,0.0,141928.0,True
graph G {  0; 0 -- 4; 1; 1 -- 7; 2; 2 -- 5; 3; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 7; 6; 6 -- 7; 7;},G?_gqK,bin/okp-recognition-obj --no_bct,dp,0.0,124660.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 6; 1; 1 -- 2; 1 -- 6; 2; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 7; 4; 4 -- 5; 4 -- 7; 5; 5 -- 7; 6; 6 -- 7; 7;},GwC^?{,bin/okp-recognition-obj,ilp,1.0,5741015.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 6; 1; 1 -- 2; 1 -- 6; 2; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 7; 4; 4 -- 5; 4 -- 7; 5; 5 -- 7; 6; 6 -- 7; 7;},GwC^?{,bin/okp-recognition-obj,sat,1.0,230234.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 6; 1; 1 -- 2; 1 -- 6; 2; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 7; 4; 4 -- 5; 4 -- 7; 5; 5 -- 7; 6; 6 -- 7; 7;},GwC^?{,bin/okp-recognition-obj,dp,1.0,75198.0,True
